Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D
1880,-0.3,-0.4,-0.2,-0.3,-0.2,-0.4,-0.3,-0.2,-0.3,-0.4,-0.4,-0.3,-0.3
1881,-0.4,-0.3,0.1,0.1,0.1,-0.3,0.0,-0.1,-0.3,-0.4,-0.3,-0.1,-0.2
1882,0.3,0.3,0.1,-0.3,-0.3,-0.4,-0.3,-0.1,-0.3,-0.4,-0.3,-0.6,-0.2
1883,-0.5,-0.7,-0.2,-0.3,-0.3,-0.1,-0.1,-0.3,-0.4,-0.2,-0.4,-0.2,-0.3
1884,-0.2,-0.1,-0.6,-0.7,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.5,-0.5
1885,-1.0,-0.6,-0.5,-0.8,-0.8,-0.8,-0.6,-0.6,-0.5,-0.4,-0.4,-0.2,-0.6
1886,-0.8,-0.9,-0.8,-0.5,-0.4,-0.6,-0.3,-0.6,-0.4,-0.5,-0.5,-0.5,-0.6
1887,-1.3,-1.0,-0.6,-0.6,-0.6,-0.5,-0.5,-0.6,-0.5,-0.6,-0.5,-0.6,-0.6
1888,-0.6,-0.6,-0.7,-0.4,-0.4,-0.3,-0.2,-0.3,-0.2,0.0,0.1,-0.1,-0.3
1889,-0.2,0.3,0.1,0.2,-0.0,-0.2,-0.1,-0.4,-0.4,-0.5,-0.6,-0.5,-0.2
1890,-0.8,-0.8,-0.7,-0.5,-0.7,-0.5,-0.5,-0.7,-0.6,-0.5,-0.8,-0.6,-0.6
1891,-0.6,-0.8,-0.3,-0.5,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.6,-0.1,-0.4
1892,-0.5,-0.2,-0.7,-0.6,-0.4,-0.4,-0.6,-0.5,-0.3,-0.3,-0.8,-0.7,-0.5
1893,-1.4,-1.0,-0.4,-0.5,-0.6,-0.5,-0.2,-0.5,-0.4,-0.3,-0.3,-0.6,-0.6
1894,-1.0,-0.6,-0.4,-0.8,-0.6,-0.7,-0.5,-0.5,-0.5,-0.4,-0.5,-0.4,-0.6
1895,-0.8,-0.8,-0.6,-0.4,-0.5,-0.4,-0.3,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4
1896,-0.4,-0.2,-0.5,-0.5,-0.3,-0.2,-0.0,-0.1,-0.1,0.1,-0.1,-0.1,-0.2
1897,-0.3,-0.3,-0.2,-0.0,-0.0,-0.2,-0.0,-0.2,-0.1,-0.2,-0.3,-0.4,-0.2
1898,-0.0,-0.5,-0.9,-0.6,-0.5,-0.3,-0.4,-0.5,-0.4,-0.6,-0.7,-0.4,-0.5
1899,-0.3,-0.7,-0.6,-0.4,-0.4,-0.6,-0.3,-0.1,-0.1,-0.1,0.2,-0.5,-0.3
1900,-0.6,-0.1,0.0,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0.2,-0.1,-0.1,-0.1
1901,-0.4,-0.2,0.1,-0.1,-0.3,-0.2,-0.3,-0.4,-0.4,-0.5,-0.3,-0.5,-0.3
1902,-0.3,-0.2,-0.5,-0.5,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.5
1903,-0.4,-0.1,-0.4,-0.7,-0.7,-0.8,-0.6,-0.8,-0.9,-0.8,-0.7,-0.9,-0.7
1904,-1.1,-1.0,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-1.0,-0.7,-0.3,-0.6,-0.8
1905,-0.6,-1.1,-0.4,-0.6,-0.5,-0.5,-0.5,-0.4,-0.3,-0.5,-0.1,-0.2,-0.5
1906,-0.5,-0.5,-0.3,-0.1,-0.5,-0.3,-0.4,-0.4,-0.5,-0.4,-0.7,-0.3,-0.4
1907,-0.8,-0.9,-0.5,-0.7,-0.8,-0.8,-0.6,-0.6,-0.6,-0.4,-0.8,-0.8,-0.7
1908,-0.8,-0.6,-1.0,-0.8,-0.7,-0.7,-0.6,-0.8,-0.6,-0.8,-0.9,-0.9,-0.8
1909,-1.3,-0.8,-1.0,-1.1,-1.0,-0.9,-0.8,-0.6,-0.7,-0.7,-0.6,-1.0,-0.9
1910,-0.8,-0.7,-0.9,-0.8,-0.6,-0.7,-0.6,-0.7,-0.7,-0.7,-1.0,-1.2,-0.8
1911,-1.1,-1.0,-1.1,-1.0,-0.9,-0.9,-0.8,-0.8,-0.7,-0.5,-0.4,-0.4,-0.8
1912,-0.5,-0.3,-0.7,-0.3,-0.4,-0.4,-0.8,-1.0,-1.0,-1.0,-0.7,-0.8,-0.7
1913,-0.7,-0.8,-0.8,-0.7,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.4,-0.0,-0.6
1914,0.1,-0.2,-0.4,-0.5,-0.4,-0.5,-0.4,-0.3,-0.3,-0.1,-0.3,-0.1,-0.3
1915,-0.4,-0.1,-0.2,0.1,-0.1,-0.4,-0.2,-0.4,-0.4,-0.4,-0.2,-0.4,-0.3
1916,-0.2,-0.3,-0.5,-0.5,-0.6,-0.9,-0.7,-0.5,-0.6,-0.6,-0.8,-1.5,-0.6
1917,-1.0,-1.1,-1.1,-1.0,-1.0,-0.8,-0.5,-0.4,-0.4,-0.8,-0.6,-1.2,-0.8
1918,-0.8,-0.6,-0.4,-0.8,-0.8,-0.6,-0.6,-0.6,-0.3,-0.1,-0.2,-0.5,-0.5
1919,-0.4,-0.4,-0.4,-0.2,-0.5,-0.6,-0.5,-0.6,-0.5,-0.4,-0.7,-0.8,-0.5
1920,-0.4,-0.5,-0.2,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.8,-0.5
1921,-0.1,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.5,-0.3,-0.1,-0.3,-0.3,-0.3
1922,-0.6,-0.8,-0.3,-0.4,-0.6,-0.5,-0.5,-0.6,-0.6,-0.6,-0.3,-0.3,-0.5
